customAuthorName,title_s,publicationDate_s,instStructName_s
Emmanuel Trouvé,Change detection matrix for multitemporal filtering and change analysis of SAR and PolSAR image time series,2015-06-01,"Université Savoie Mont Blanc, CVGHM, Université Joseph Fourier - Grenoble 1, Institut Français des Sciences et Technologies des Transports, de l'Aménagement et des Réseaux, Institut national des sciences de l'Univers, Institut de recherche pour le développement [IRD] : UR219, PRES Université de Grenoble, Université Savoie Mont Blanc"
Emmanuel Trouvé,Seasonal flow variability of a temperate glacier in the Mont Blanc massif observed by GPS,2011,"Université Joseph Fourier - Grenoble 1, Institut Français des Sciences et Technologies des Transports, de l'Aménagement et des Réseaux, Institut national des sciences de l'Univers, Institut de recherche pour le développement [IRD] : UR219, PRES Université de Grenoble, Université Savoie Mont Blanc, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Savoie Mont Blanc"
Emmanuel Trouvé,Displacement measurements,2014-01-31,"Université Savoie Mont Blanc, Université Joseph Fourier - Grenoble 1, Institut Français des Sciences et Technologies des Transports, de l'Aménagement et des Réseaux, Institut national des sciences de l'Univers, Institut de recherche pour le développement [IRD] : UR219, PRES Université de Grenoble, Université Savoie Mont Blanc"
Lionel Valet,Parameter setting support for a 3D images processing systems,2013,Université Savoie Mont Blanc
Lionel Valet,Towards the Supervision of a Fusion System for 3D Image Interpretation,2011-11-22,Université Savoie Mont Blanc
Lionel Valet,Monotonic additive preference model for 3D fusion system parameters adjustment,2014-07-13,Université Savoie Mont Blanc
Lionel Valet,Quality evaluation of insulating parts by fusion of classifiers issued from tomographic images,2008,"Université Savoie Mont Blanc, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Schneider Electric"
Lionel Valet,Evaluation locale de la performance basée sur un critère Mission/Qualité,2011-09-05,Université Savoie Mont Blanc
Lionel Valet,An attribute fusion system based on the Choquet integral to evaluate the quality of composite parts,2008-04,Université Savoie Mont Blanc
Lionel Valet,Analyse et prétraitement d'un ensemble d'apprentissage dans le cadre d'un système coopératif de classification floue,2006-10,Université Savoie Mont Blanc
Lionel Valet,Interactive learning of implicative fuzzy rules applied to the classification of POLSAR features in the context of Alpine glaciers,2007,"Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Savoie Mont Blanc, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology"
Lionel Valet,Monotonic additive preference model for 3D fusion system parameters adjustment,2014-07-13,Université Savoie Mont Blanc
Lionel Valet,Feature detection in POLinSAR images by an interactive fuzzy fusion approach. Application to glacier monitoring,2007-01-22,"Université Savoie Mont Blanc, Université Politehnica [Bucarest, Roumanie], Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Télécom ParisTech, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology"
Hervé Verjus,IEcons: A New Consensus Approach Using Multi-Text Representations for Clustering Task,2024-05-13,Université Savoie Mont Blanc
Hervé Verjus,Machine Learning for Text Anomaly Detection: A Systematic Review,2023,"Université Savoie Mont Blanc, Cegedim-SRH"
Hervé Verjus,Business Process Flexibility in Service Composition: An Experiment Using a PLM-Based Scenario,2011-02,"Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Savoie Mont Blanc"
Hervé Verjus,Software Agents for bringing cooperating software-intensive processes under quantitative control using fuzzy sets,1999-05-12,"Université Savoie Mont Blanc, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, CentraleSupélec, IMT Atlantique, Université de Bretagne Sud, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, CentraleSupélec, IMT Atlantique"
Hervé Verjus,A Formal Architecture-Centric Model-Driven Approach for the Automatic Generation of Grid Applications,2006-05,"Université Savoie Mont Blanc, University of the West of England [Bristol], Université de Bretagne Sud"
Hervé Verjus,Classification des précipitations sur les massifs alpins français,2021-09-13,Université Savoie Mont Blanc
Hervé Verjus,Description des services MES et de leurs opérations,2011-02,Université Savoie Mont Blanc
Hervé Verjus,A New Approach for SBPM based on Competencies Management,2018-03-21,"Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Grenoble Alpes [2016-2019], Université Savoie Mont Blanc"
Hervé Verjus,An Architecture-Centric Approach for Managing the Evolution of EAI Services-Oriented Architecture,2006-05,"Université Savoie Mont Blanc, Université de Bretagne Sud"
Hervé Verjus,Business Process Management for MES Deployment: Some Lessons from a Bearings Manufacturer Experience,2020-08-25,"Université Savoie Mont Blanc, Université Savoie Mont Blanc, NTN-SNR ROULEMENTS [Annecy]"
Flavien Vernier,Predicting Power Consumption Using Machine Learning Techniques,2024-05-27,"Université Savoie Mont Blanc, Université Savoie Mont Blanc, Université de Technologie de Belfort-Montbeliard, Ecole Nationale Supérieure de Mécanique et des Microtechniques, Université de Franche-Comté, American University of Beirut [Beyrouth], Université Savoie Mont Blanc"
Flavien Vernier,How to use the past to face the future?,2020,"École normale supérieure de Lyon, Université Claude Bernard Lyon 1, Institut National de Recherche en Informatique et en Automatique, Université Savoie Mont Blanc, École normale supérieure de Lyon, Université Claude Bernard Lyon 1, Institut National de Recherche en Informatique et en Automatique, Institut National de Recherche en Informatique et en Automatique"
Flavien Vernier,EFIDIR : extraction et fusion d'informations pour la mesure de déplacements par imagerie radar,2011,"Université Savoie Mont Blanc, Télécom ParisTech, Université de Nantes, Université de Rennes, Institut National des Sciences Appliquées - Rennes, CentraleSupélec, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Joseph Fourier - Grenoble 1, Institut Français des Sciences et Technologies des Transports, de l'Aménagement et des Réseaux, Institut national des sciences de l'Univers, Institut de recherche pour le développement [IRD] : UR219, PRES Université de Grenoble, Université Savoie Mont Blanc, Institut national des sciences de l'Univers, École normale supérieure - Paris, Université Joseph Fourier - Grenoble 1, Institut Français des Sciences et Technologies des Transports, de l'Aménagement et des Réseaux, Institut national des sciences de l'Univers, Institut de recherche pour le développement [IRD] : UR219, PRES Université de Grenoble, Université Savoie Mont Blanc, Université Joseph Fourier - Grenoble 1, Institut Français des Sciences et Technologies des Transports, de l'Aménagement et des Réseaux, Institut national des sciences de l'Univers, Institut de recherche pour le développement [IRD] : UR219, PRES Université de Grenoble, Université Savoie Mont Blanc, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Ecole Supérieure d'Electricité - SUPELEC (FRANCE)"
Flavien Vernier,A swap randomization approach for mining motion field time series over the Argentiere glacier,2015-07-24,"Université Savoie Mont Blanc, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Institut National de Recherche en Informatique et en Automatique, Université Claude Bernard Lyon 1, VetAgro Sup - Institut national d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon"
Flavien Vernier,Attempt of alpine glacier flow modeling based on correlation measurements of high resolution SAR images,2013-07-21,"Université de Nantes, Université de Rennes, Institut National des Sciences Appliquées - Rennes, CentraleSupélec, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Savoie Mont Blanc"
Flavien Vernier,AN OVERVIEW TO REMOTELY SENSED DISPLACEMENT MEASUREMENTS FUSION: CURRENT STATUS AND CHALLENGES,2016-07-10,"Université Savoie Mont Blanc, University of Edinburgh"
Flavien Vernier,Détection automatique de zones en mouvement dans des séries d’images non recalées: application à la surveillance des mouvements gravitaires,2018,"Université Savoie Mont Blanc, Observatoire des Sciences de l'Univers de Grenoble, Université Savoie Mont Blanc, Tenevia"
Flavien Vernier,Towards a Semantic Model for Wise Systems - A Graph Matching Algorithm,2022-11-12,Université Savoie Mont Blanc
Flavien Vernier,Monitoring rock glacier by optical stereoscopic time-lapse device,2018-06,"Université Savoie Mont Blanc, Observatoire des Sciences de l'Univers de Grenoble, Tenevia, Université Savoie Mont Blanc"
Flavien Vernier,3D displacement retrieval on glacial areas by airborne multi-view photogrammetry,2015-07-22,"Université Savoie Mont Blanc, Observatoire des Sciences de l'Univers de Grenoble, Université Savoie Mont Blanc, Aosta Valley Regional Environmental Protection Agency"
Yajing Yan,Comparison of different incremental assimilation schemes in an operational assimilation system with Ensemble Kalman Filter,2016-04-18,"Université Savoie Mont Blanc, Institut national des sciences de l'Univers, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut national des sciences de l'Univers, Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture, Université Savoie Mont Blanc, Université Grenoble Alpes [2016-2019]"
Yajing Yan,Volcano Deformation and Eruption Forecasting using Data Assimilation: Is it Feasible?,2015-10-07,"Université Joseph Fourier - Grenoble 1, Institut Français des Sciences et Technologies des Transports, de l'Aménagement et des Réseaux, Institut national des sciences de l'Univers, Institut de recherche pour le développement [IRD] : UR219, PRES Université de Grenoble, Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Yajing Yan,Improving ice thickness estimation of glaciers using deep learning methods : a case study in the Swiss Alps,2023-05-15,"Université Savoie Mont Blanc, Institut de Recherche pour le Développement, Institut national des sciences de l'Univers, Institut National de Recherche pour l’Agriculture, l’Alimentation et l’Environnement, Observatoire des Sciences de l'Univers de Grenoble, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut de Recherche pour le Développement, Institut national des sciences de l'Univers, Université Savoie Mont Blanc, Université Gustave Eiffel, Observatoire des Sciences de l'Univers de Grenoble"
Yajing Yan,Coseismic displacement field and slip distribution of the 2005 Kashmir earthquake from SAR amplitude image correlation and differential interferometry,2013-04-02,"Université Savoie Mont Blanc, Université Joseph Fourier - Grenoble 1, Institut Français des Sciences et Technologies des Transports, de l'Aménagement et des Réseaux, Institut national des sciences de l'Univers, Institut de recherche pour le développement [IRD] : UR219, PRES Université de Grenoble, Université Savoie Mont Blanc, Université Joseph Fourier - Grenoble 1, Institut Français des Sciences et Technologies des Transports, de l'Aménagement et des Réseaux, Institut national des sciences de l'Univers, Institut de recherche pour le développement [IRD] : UR219, PRES Université de Grenoble, Université Savoie Mont Blanc"
Yajing Yan,Combinaison de l'interférométrie différentielle et la corrélation d'amplitude SAR pour la mesure de champs de déplacement: Application au séisme du Pakistan (2005),2010-11,"Université Savoie Mont Blanc, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut national des sciences de l'Univers, Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture, Université Savoie Mont Blanc, Laboratoire Central des Ponts et Chaussées, Institut de Recherche pour le Développement"
Yajing Yan,SAR Offset Tracking,2022-05-29,"Gamma Remote Sensing Research and Consulting AG, Eidgenössische Technische Hochschule - Swiss Federal Institute of Technology  [Zürich], Université Savoie Mont Blanc, Institute of Marine and Atmospheric Research"
Yajing Yan,Ice Aprons in the Mont Blanc Massif (Western European Alps): Topographic Characteristics and Relations with Glaciers and Other Types of Perennial Surface Ice Features,2022-11,"Université Savoie Mont Blanc, Observatoire des Sciences de l'Univers de Grenoble, Université Savoie Mont Blanc, University of Oslo"
Yajing Yan,Integration of Corner Reflectors for the Monitoring of Mountain Glacier Areas with Sentinel-1 Time Series,2019-04-25,"Université Savoie Mont Blanc, Institut National de l'Information Géographique et Forestière [IGN], Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Grenoble Alpes [2016-2019], Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Grenoble Alpes [2016-2019]"
Yajing Yan,Covariance fitting based InSAR Phase Linking,2023-07-17,"ONERA, Université Paris-Saclay, Université Paris Nanterre, ONERA, Université Paris-Saclay, Université Savoie Mont Blanc"
Yajing Yan,Comparison of two methods in multi-temporal differential SAR interferometry: Application to the measurement of Mexico City subsidence,2009-11,"Université Savoie Mont Blanc, Institut national des sciences de l'Univers, École normale supérieure - Paris, Télécom ParisTech, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut national des sciences de l'Univers, Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture, Université Savoie Mont Blanc, Laboratoire Central des Ponts et Chaussées, Institut de Recherche pour le Développement"
